,report_name,company_id,company_name,period_year,season,acct_name,this_year_amt,this_year_percent,last_year_amt,last_year_percent,creation_date,seq
278,CashFlowStatement,1104,環泥,112,1,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,-36236.0,0.0,867.0,0.0,2024-04-10 14:18:13,7
279,CashFlowStatement,1104,環泥,112,1,利息費用,15809.0,0.0,7646.0,0.0,2024-04-10 14:18:14,8
281,CashFlowStatement,1104,環泥,112,1,股利收入,-12118.0,0.0,0.0,0.0,2024-04-10 14:18:14,10
282,CashFlowStatement,1104,環泥,112,1,採用權益法認列之關聯企業及合資損失（利益）之份額,-82773.0,0.0,-184540.0,0.0,2024-04-10 14:18:14,11
283,CashFlowStatement,1104,環泥,112,1,處分及報廢不動產、廠房及設備損失（利益）,-94.0,0.0,-3968.0,0.0,2024-04-10 14:18:14,12
284,CashFlowStatement,1104,環泥,112,1,處分投資損失（利益）,0.0,0.0,-373540.0,0.0,2024-04-10 14:18:14,13
285,CashFlowStatement,1104,環泥,112,1,收益費損項目合計,-61205.0,0.0,-507940.0,0.0,2024-04-10 14:18:14,14
286,CashFlowStatement,1104,環泥,112,1,合約資產（增加）減少,69.0,0.0,-134.0,0.0,2024-04-10 14:18:14,15
287,CashFlowStatement,1104,環泥,112,1,應收票據（增加）減少,79443.0,0.0,2801.0,0.0,2024-04-10 14:18:14,16
288,CashFlowStatement,1104,環泥,112,1,應收帳款（增加）減少,2948.0,0.0,-6573.0,0.0,2024-04-10 14:18:14,17
289,CashFlowStatement,1104,環泥,112,1,其他應收款（增加）減少,-6399.0,0.0,1986.0,0.0,2024-04-10 14:18:14,18
290,CashFlowStatement,1104,環泥,112,1,存貨（增加）減少,-33884.0,0.0,-105478.0,0.0,2024-04-10 14:18:14,19
291,CashFlowStatement,1104,環泥,112,1,預付款項（增加）減少,3165.0,0.0,-8189.0,0.0,2024-04-10 14:18:14,20
292,CashFlowStatement,1104,環泥,112,1,其他流動資產（增加）減少,-4118.0,0.0,-26586.0,0.0,2024-04-10 14:18:14,21
293,CashFlowStatement,1104,環泥,112,1,與營業活動相關之資產之淨變動合計,41224.0,0.0,-142173.0,0.0,2024-04-10 14:18:15,22
294,CashFlowStatement,1104,環泥,112,1,合約負債增加（減少）,-194.0,0.0,-4529.0,0.0,2024-04-10 14:18:15,23
295,CashFlowStatement,1104,環泥,112,1,應付票據增加（減少）,-96235.0,0.0,19483.0,0.0,2024-04-10 14:18:15,24
296,CashFlowStatement,1104,環泥,112,1,應付帳款增加（減少）,15870.0,0.0,-109006.0,0.0,2024-04-10 14:18:15,25
297,CashFlowStatement,1104,環泥,112,1,其他應付款增加（減少）,-95689.0,0.0,-31096.0,0.0,2024-04-10 14:18:15,26
298,CashFlowStatement,1104,環泥,112,1,其他流動負債增加（減少）,3197.0,0.0,16272.0,0.0,2024-04-10 14:18:15,27
299,CashFlowStatement,1104,環泥,112,1,淨確定福利負債增加(減少),0.0,0.0,-823.0,0.0,2024-04-10 14:18:15,28
300,CashFlowStatement,1104,環泥,112,1,與營業活動相關之負債之淨變動合計,-173051.0,0.0,-109699.0,0.0,2024-04-10 14:18:15,29
301,CashFlowStatement,1104,環泥,112,1,與營業活動相關之資產及負債之淨變動合計,-131827.0,0.0,-251872.0,0.0,2024-04-10 14:18:15,30
302,CashFlowStatement,1104,環泥,112,1,調整項目合計,-193032.0,0.0,-759812.0,0.0,2024-04-10 14:18:15,31
303,CashFlowStatement,1104,環泥,112,1,營運產生之現金流入（流出）,122455.0,0.0,-31056.0,0.0,2024-04-10 14:18:15,32
304,CashFlowStatement,1104,環泥,112,1,收取之利息,1069.0,0.0,204.0,0.0,2024-04-10 14:18:15,33
305,CashFlowStatement,1104,環泥,112,1,收取之股利,12118.0,0.0,0.0,0.0,2024-04-10 14:18:15,34
306,CashFlowStatement,1104,環泥,112,1,退還（支付）之所得稅,-8297.0,0.0,-837.0,0.0,2024-04-10 14:18:15,35
307,CashFlowStatement,1104,環泥,112,1,營業活動之淨現金流入（流出）,127345.0,0.0,-31689.0,0.0,2024-04-10 14:18:15,36
308,CashFlowStatement,1104,環泥,112,1,投資活動之現金流量,0.0,0.0,0.0,0.0,2024-04-10 14:18:16,37
309,CashFlowStatement,1104,環泥,112,1,取得按攤銷後成本衡量之金融資產,-50.0,0.0,-2900.0,0.0,2024-04-10 14:18:16,38
310,CashFlowStatement,1104,環泥,112,1,處分按攤銷後成本衡量之金融資產,4990.0,0.0,5080.0,0.0,2024-04-10 14:18:16,39
311,CashFlowStatement,1104,環泥,112,1,處分透過損益按公允價值衡量之金融資產,60070.0,0.0,0.0,0.0,2024-04-10 14:18:16,40
